队伍,玩家昵称,Account_ID,OpenDota链接,状态
队伍1,思Kirara,149901486,https://www.opendota.com/players/149901486,✅
队伍1,德德,216565503,https://www.opendota.com/players/216565503,✅
队伍1,awe,1101454493,https://www.opendota.com/players/1101454493,✅
队伍1,JY.LIU,,⚠️ 缺失ID,❌
队伍1,卡卡罗特,124106189,https://www.opendota.com/players/124106189,✅
队伍2,ahji,168908562,https://www.opendota.com/players/168908562,✅
队伍2,Sam QL,215850857,https://www.opendota.com/players/215850857,✅
队伍2,清寒,146510503,https://www.opendota.com/players/146510503,✅
队伍2,阿边边边边边,103091764,https://www.opendota.com/players/103091764,✅
队伍2,VK,117116280,https://www.opendota.com/players/117116280,✅
队伍3,海柱哥,,⚠️ 缺失ID,❌
队伍3,LiffyIsland,301128180,https://www.opendota.com/players/301128180,✅
队伍3,Ym,138637714,https://www.opendota.com/players/138637714,✅
队伍3,will,,⚠️ 缺失ID,❌
队伍3,walker,,⚠️ 缺失ID,❌
队伍4,黄神AME,225835718,https://www.opendota.com/players/225835718,✅
队伍4,邮寄时光,354739911,https://www.opendota.com/players/354739911,✅
队伍4,看我干嘛,136320131,https://www.opendota.com/players/136320131,✅
队伍4,烟火声,,⚠️ 缺失ID,❌
队伍4,yuan.,365587496,https://www.opendota.com/players/365587496,✅
队伍5,Dom,362233986,https://www.opendota.com/players/362233986,✅
队伍5,老板,294993528,https://www.opendota.com/players/294993528,✅
队伍5,拉罗,157552982,https://www.opendota.com/players/157552982,✅
队伍5,EK,136611464,https://www.opendota.com/players/136611464,✅
队伍5,韭韭（时浅）,402598895,https://www.opendota.com/players/402598895,✅
队伍6,彭律,146348911,https://www.opendota.com/players/146348911,✅
队伍6,世涛,140976240,https://www.opendota.com/players/140976240,✅
队伍6,Destiny,86788193,https://www.opendota.com/players/86788193,✅
队伍6,wei,,⚠️ 缺失ID,❌
队伍6,刘能,,⚠️ 缺失ID,❌
队伍7,六柒柒,,⚠️ 缺失ID,❌
队伍7,水豚噜噜,900466924,https://www.opendota.com/players/900466924,✅
队伍7,含章可贞,387262791,https://www.opendota.com/players/387262791,✅
队伍7,CatU,,⚠️ 缺失ID,❌
队伍7,河粉,,⚠️ 缺失ID,❌
队伍8,老刘,117116280,https://www.opendota.com/players/117116280,✅
队伍8,百京泰迪熊,141869520,https://www.opendota.com/players/141869520,✅
队伍8,漆黑之牙-卓,146389394,https://www.opendota.com/players/146389394,✅
队伍8,WWW,183746899,https://www.opendota.com/players/183746899,✅
队伍8,A,366757026,https://www.opendota.com/players/366757026,✅
