队伍,玩家,Account ID,比赛场数,胜场,负场,胜率%,平均击杀,平均死亡,平均助攻,KDA比率,最常用英雄1,场次1,胜率1%,最常用英雄2,场次2,胜率2%,最常用英雄3,场次3,胜率3%
队伍1,思Kirara,149901486,100,61,39,61.0,4.3,7.96,20.28,3.09,Ogre Magi,19,57.89,Mars,12,66.67,Centaur Warrunner,10,80.0
队伍1,德德,216565503,100,47,53,47.0,8.61,8.87,14.76,2.63,Viper,24,62.5,Ember Spirit,13,46.15,Slardar,8,12.5
队伍1,awe,1101454493,100,49,51,49.0,6.2,7.5,16.54,3.03,Pangolier,17,64.71,Timbersaw,13,53.85,Primal Beast,13,46.15
队伍1,卡卡罗特,124106189,100,51,49,51.0,11.11,5.9,12.35,3.98,Legion Commander,14,50.0,Monkey King,11,54.55,Huskar,10,40.0
队伍1,JY.LIU,364671117,100,54,46,54.0,8.3,6.6,14.72,3.49,Storm Spirit,13,53.85,Slark,7,71.43,Weaver,6,66.67
队伍2,ahji,168908562,100,58,42,58.0,7.91,6.69,15.09,3.44,Spectre,8,62.5,Drow Ranger,8,75.0,Tidehunter,7,57.14
队伍2,Sam QL,215850857,100,57,43,57.0,9.69,7.55,15.11,3.28,Necrophos,19,52.63,Windranger,10,40.0,Drow Ranger,8,62.5
队伍2,清寒,146510503,100,35,65,35.0,3.15,12.56,10.72,1.1,Alchemist,33,39.39,Shadow Shaman,28,39.29,Jakiro,6,83.33
队伍2,阿边边边边边,103091764,100,49,51,49.0,9.71,7.42,12.83,3.04,Kez,8,50.0,Huskar,6,66.67,Queen of Pain,5,60.0
队伍2,VK,117116280,100,46,54,46.0,7.26,9.06,16.29,2.6,Ember Spirit,18,61.11,Legion Commander,16,37.5,Slardar,8,25.0
队伍3,LiffyIsland,301128180,100,56,44,56.0,6.23,8.38,18.97,3.01,Viper,18,66.67,Legion Commander,15,73.33,Ancient Apparition,9,55.56
队伍3,Ym,138637714,100,50,50,50.0,5.98,6.82,19.47,3.73,Hoodwink,22,50.0,Io,8,25.0,Windranger,7,57.14
队伍3,海柱哥,160800934,100,49,51,49.0,6.52,9.21,16.97,2.55,Tidehunter,19,68.42,Lich,9,33.33,Beastmaster,8,12.5
队伍3,walker,174245541,100,53,47,53.0,5.24,8.06,17.26,2.79,Slardar,16,68.75,Viper,13,69.23,Warlock,12,83.33
队伍4,黄神AME,225835718,100,49,51,49.0,6.21,6.6,11.96,2.75,Outworld Destroyer,14,64.29,Alchemist,12,33.33,Centaur Warrunner,10,80.0
队伍4,邮寄时光,354739911,100,51,49,51.0,6.47,6.17,15.36,3.54,Shadow Shaman,12,50.0,Disruptor,10,60.0,Zeus,9,22.22
队伍4,看我干嘛,136320131,100,53,47,53.0,7.3,9.89,18.66,2.62,Grimstroke,21,57.14,Magnus,10,50.0,Rubick,9,55.56
队伍4,yuan.,365587496,100,60,40,60.0,11.35,7.94,16.05,3.45,Void Spirit,28,60.71,Nature's Prophet,12,83.33,Phantom Lancer,9,55.56
队伍5,Dom,362233986,100,54,46,54.0,6.22,10.04,18.3,2.44,Jakiro,19,42.11,Lich,18,66.67,Legion Commander,14,50.0
队伍5,老板,294993528,100,44,56,44.0,7.33,7.65,12.5,2.59,Pugna,13,61.54,Viper,11,54.55,Broodmother,6,66.67
队伍5,拉罗,157552982,100,61,39,61.0,9.85,6.71,17.72,4.11,Primal Beast,39,76.92,Tinker,7,42.86,Faceless Void,7,0.0
队伍5,EK,136611464,100,51,49,51.0,9.33,5.89,14.74,4.09,Storm Spirit,27,55.56,Necrophos,15,53.33,Jakiro,8,87.5
队伍5,韭韭（时浅）,402598895,100,49,51,49.0,5.58,8.34,16.4,2.64,Oracle,37,59.46,Witch Doctor,13,61.54,Jakiro,11,45.45
队伍6,彭律,146348911,100,58,42,58.0,6.47,11.27,18.13,2.18,Lich,20,70.0,Witch Doctor,9,44.44,Lion,7,28.57
队伍6,世涛,140976240,100,46,54,46.0,7.53,10.32,16.28,2.31,Slardar,9,11.11,Tiny,7,14.29,Monkey King,7,14.29
